User_ID,Age,Gender,Steps_Taken,Calories_Burned,Water_Intake_Liters,Sleep_Hours,Exercise_Type,Date,Time,Week_Start,Days_of_Week,Week_Of,Day Number,Age_Group,Age_Sort
U3019,18,Male,5649,399.6,2.22,9.4,Strength,01/02/2024,19:00:00,29/01/2024,Thursday,Week of Feb 1,4,18-21,1
U3020,30,Female,12978,651.1,0.55,5.5,Cardio,01/02/2024,20:00:00,29/01/2024,Thursday,Week of Feb 1,4,22-30,2
U3021,32,Male,5097,242.8,1.25,4.4,Strength,01/02/2024,21:00:00,29/01/2024,Thursday,Week of Feb 1,4,31-40,3
U3022,49,Male,5512,283.2,1.19,7.2,Cardio,01/02/2024,22:00:00,29/01/2024,Thursday,Week of Feb 1,4,41-50,4
U3023,51,Female,6860,595.8,1.25,9.1,Cardio,01/02/2024,23:00:00,29/01/2024,Thursday,Week of Feb 1,4,51-60,5
U3024,48,Male,11412,514.2,2.11,6.4,Cardio,02/02/2024,00:00:00,29/01/2024,Friday,Week of Feb 2,5,41-50,4
U3025,31,Female,10833,282.5,2.25,8.7,Strength,02/02/2024,01:00:00,29/01/2024,Friday,Week of Feb 2,5,31-40,3
U3026,31,Female,13506,736.8,3.23,9.0,Strength,02/02/2024,02:00:00,29/01/2024,Friday,Week of Feb 2,5,31-40,3
U3027,46,Male,2723,329.4,1.66,6.7,Cardio,02/02/2024,03:00:00,29/01/2024,Friday,Week of Feb 2,5,41-50,4
U3028,36,Male,2737,423.7,3.28,7.5,Cardio,02/02/2024,04:00:00,29/01/2024,Friday,Week of Feb 2,5,31-40,3
U3029,44,Female,3299,281.5,2.46,7.2,Yoga,02/02/2024,05:00:00,29/01/2024,Friday,Week of Feb 2,5,41-50,4
U3030,26,Male,5480,402.2,3.24,9.6,Cardio,02/02/2024,06:00:00,29/01/2024,Friday,Week of Feb 2,5,22-30,2
U3031,54,Female,2339,469.6,3.00,8.4,None,02/02/2024,07:00:00,29/01/2024,Friday,Week of Feb 2,5,51-60,5
U3032,54,Male,2152,341.9,2.56,9.6,Yoga,02/02/2024,08:00:00,29/01/2024,Friday,Week of Feb 2,5,51-60,5
U3033,45,Male,7684,649.9,1.57,5.3,Yoga,02/02/2024,09:00:00,29/01/2024,Friday,Week of Feb 2,5,41-50,4
U3034,41,Female,11613,406.1,1.22,5.9,Yoga,02/02/2024,10:00:00,29/01/2024,Friday,Week of Feb 2,5,41-50,4
U3035,45,Male,5051,624.2,1.17,4.4,None,02/02/2024,11:00:00,29/01/2024,Friday,Week of Feb 2,5,41-50,4
U3036,53,Male,2426,284.6,3.36,7.0,Yoga,02/02/2024,12:00:00,29/01/2024,Friday,Week of Feb 2,5,51-60,5
U3037,35,Male,9146,395.1,3.38,9.2,Yoga,02/02/2024,13:00:00,29/01/2024,Friday,Week of Feb 2,5,31-40,3
U3038,42,Female,10125,155.2,2.67,6.0,Strength,02/02/2024,14:00:00,29/01/2024,Friday,Week of Feb 2,5,41-50,4
U3039,52,Male,13750,643.1,3.15,4.8,Strength,02/02/2024,15:00:00,29/01/2024,Friday,Week of Feb 2,5,51-60,5
U3040,21,Female,8347,556.8,3.26,4.4,Cardio,02/02/2024,16:00:00,29/01/2024,Friday,Week of Feb 2,5,18-21,1
U3041,31,Male,11327,681.6,2.03,6.7,Cardio,02/02/2024,17:00:00,29/01/2024,Friday,Week of Feb 2,5,31-40,3
U3042,56,Female,4372,446.1,2.39,5.0,Walking,02/02/2024,18:00:00,29/01/2024,Friday,Week of Feb 2,5,51-60,5
U3043,43,Male,10126,669.8,1.76,6.1,None,02/02/2024,19:00:00,29/01/2024,Friday,Week of Feb 2,5,41-50,4
U3044,25,Male,13521,570.9,1.76,8.9,Strength,02/02/2024,20:00:00,29/01/2024,Friday,Week of Feb 2,5,22-30,2
U3045,41,Female,2949,152.3,0.62,6.3,Cardio,02/02/2024,21:00:00,29/01/2024,Friday,Week of Feb 2,5,41-50,4
U3046,33,Male,9695,314.9,1.80,7.7,None,02/02/2024,22:00:00,29/01/2024,Friday,Week of Feb 2,5,31-40,3
U3047,37,Female,3373,471.0,2.52,7.0,Yoga,02/02/2024,23:00:00,29/01/2024,Friday,Week of Feb 2,5,31-40,3
U3048,32,Male,9082,552.1,1.77,8.3,None,03/02/2024,00:00:00,29/01/2024,Saturday,Week of Feb 3,6,31-40,3
U3049,24,Female,11148,192.6,3.12,4.9,Strength,03/02/2024,01:00:00,29/01/2024,Saturday,Week of Feb 3,6,22-30,2
U3050,34,Male,11893,608.3,1.50,9.5,Walking,03/02/2024,02:00:00,29/01/2024,Saturday,Week of Feb 3,6,31-40,3
U3051,39,Female,13133,503.3,0.90,7.9,Strength,03/02/2024,03:00:00,29/01/2024,Saturday,Week of Feb 3,6,31-40,3
U3052,39,Male,4482,491.8,2.93,5.6,Cardio,03/02/2024,04:00:00,29/01/2024,Saturday,Week of Feb 3,6,31-40,3
U3053,29,Female,9593,339.8,2.52,4.7,Cardio,03/02/2024,05:00:00,29/01/2024,Saturday,Week of Feb 3,6,22-30,2
U3054,35,Female,11495,536.6,1.23,4.9,None,03/02/2024,06:00:00,29/01/2024,Saturday,Week of Feb 3,6,31-40,3
U3055,32,Male,2370,167.9,2.11,8.7,Strength,03/02/2024,07:00:00,29/01/2024,Saturday,Week of Feb 3,6,31-40,3
U3056,54,Female,9837,192.1,1.71,7.5,Cardio,03/02/2024,08:00:00,29/01/2024,Saturday,Week of Feb 3,6,51-60,5
U3057,33,Female,13172,627.0,3.32,6.3,Yoga,03/02/2024,09:00:00,29/01/2024,Saturday,Week of Feb 3,6,31-40,3
U3058,22,Male,4296,359.2,2.32,6.0,Yoga,03/02/2024,10:00:00,29/01/2024,Saturday,Week of Feb 3,6,22-30,2
U3059,19,Male,9034,375.5,0.98,9.1,Walking,03/02/2024,11:00:00,29/01/2024,Saturday,Week of Feb 3,6,18-21,1
U3060,45,Male,8324,285.5,2.01,9.2,None,03/02/2024,12:00:00,29/01/2024,Saturday,Week of Feb 3,6,41-50,4
U3061,58,Male,14990,439.7,3.09,7.5,Cardio,03/02/2024,13:00:00,29/01/2024,Saturday,Week of Feb 3,6,51-60,5
U3062,44,Male,9142,183.8,2.51,7.1,Walking,03/02/2024,14:00:00,29/01/2024,Saturday,Week of Feb 3,6,41-50,4
U3063,48,Male,12317,345.2,3.03,8.9,Yoga,03/02/2024,15:00:00,29/01/2024,Saturday,Week of Feb 3,6,41-50,4
U3064,58,Female,13158,492.6,1.25,8.5,Walking,03/02/2024,16:00:00,29/01/2024,Saturday,Week of Feb 3,6,51-60,5
U3065,53,Female,9028,452.7,3.17,6.4,Walking,03/02/2024,17:00:00,29/01/2024,Saturday,Week of Feb 3,6,51-60,5
U3066,18,Female,8479,799.8,2.77,4.5,Cardio,03/02/2024,18:00:00,29/01/2024,Saturday,Week of Feb 3,6,18-21,1
U3067,46,Male,6145,402.7,2.69,8.6,Cardio,03/02/2024,19:00:00,29/01/2024,Saturday,Week of Feb 3,6,41-50,4
U3068,18,Male,12934,401.5,1.54,5.0,Cardio,03/02/2024,20:00:00,29/01/2024,Saturday,Week of Feb 3,6,18-21,1
U3069,25,Female,6021,477.3,3.16,4.1,None,03/02/2024,21:00:00,29/01/2024,Saturday,Week of Feb 3,6,22-30,2
U3070,33,Female,4364,273.7,2.41,9.1,Walking,03/02/2024,22:00:00,29/01/2024,Saturday,Week of Feb 3,6,31-40,3
U3071,45,Male,7230,719.6,3.06,7.5,Walking,03/02/2024,23:00:00,29/01/2024,Saturday,Week of Feb 3,6,41-50,4
U3072,39,Female,7970,522.0,1.58,9.3,None,04/02/2024,00:00:00,29/01/2024,Sunday,Week of Feb 4,7,31-40,3
U3073,35,Male,10954,274.9,0.94,6.9,Yoga,04/02/2024,01:00:00,29/01/2024,Sunday,Week of Feb 4,7,31-40,3
U3074,39,Male,9300,665.7,1.50,9.6,Strength,04/02/2024,02:00:00,29/01/2024,Sunday,Week of Feb 4,7,31-40,3
U3075,58,Female,8755,172.3,1.87,6.1,Yoga,04/02/2024,03:00:00,29/01/2024,Sunday,Week of Feb 4,7,51-60,5
U3076,29,Male,14254,788.7,2.10,8.3,None,04/02/2024,04:00:00,29/01/2024,Sunday,Week of Feb 4,7,22-30,2
U3077,36,Male,3004,712.3,2.03,5.8,Walking,04/02/2024,05:00:00,29/01/2024,Sunday,Week of Feb 4,7,31-40,3
U3078,42,Male,9057,526.8,2.14,4.0,Walking,04/02/2024,06:00:00,29/01/2024,Sunday,Week of Feb 4,7,41-50,4
U3079,22,Male,5755,222.3,3.03,6.3,Cardio,04/02/2024,07:00:00,29/01/2024,Sunday,Week of Feb 4,7,22-30,2
U3080,51,Female,4846,289.9,1.01,8.4,Cardio,04/02/2024,08:00:00,29/01/2024,Sunday,Week of Feb 4,7,51-60,5
U3081,56,Male,8262,331.6,1.45,4.9,Walking,04/02/2024,09:00:00,29/01/2024,Sunday,Week of Feb 4,7,51-60,5
U3082,27,Male,10541,306.7,3.17,7.0,Walking,04/02/2024,10:00:00,29/01/2024,Sunday,Week of Feb 4,7,22-30,2
U3083,24,Female,4964,473.4,2.18,5.3,Cardio,04/02/2024,11:00:00,29/01/2024,Sunday,Week of Feb 4,7,22-30,2
U3084,54,Male,10878,764.0,2.25,4.4,Cardio,04/02/2024,12:00:00,29/01/2024,Sunday,Week of Feb 4,7,51-60,5
U3085,32,Male,6637,438.7,1.93,7.7,Yoga,04/02/2024,13:00:00,29/01/2024,Sunday,Week of Feb 4,7,31-40,3
U3086,59,Female,13318,580.0,2.15,9.7,Walking,04/02/2024,14:00:00,29/01/2024,Sunday,Week of Feb 4,7,51-60,5
U3087,41,Female,14648,597.6,1.09,5.9,Walking,04/02/2024,15:00:00,29/01/2024,Sunday,Week of Feb 4,7,41-50,4
U3088,43,Male,4755,716.5,2.14,7.5,None,04/02/2024,16:00:00,29/01/2024,Sunday,Week of Feb 4,7,41-50,4
U3089,43,Male,13716,172.0,3.49,9.7,Yoga,04/02/2024,17:00:00,29/01/2024,Sunday,Week of Feb 4,7,41-50,4
U3090,43,Female,5624,412.8,2.20,7.9,Strength,04/02/2024,18:00:00,29/01/2024,Sunday,Week of Feb 4,7,41-50,4
U3091,27,Male,4732,660.1,0.63,8.0,Strength,04/02/2024,19:00:00,29/01/2024,Sunday,Week of Feb 4,7,22-30,2
U3092,34,Male,8473,679.7,2.89,5.1,Strength,04/02/2024,20:00:00,29/01/2024,Sunday,Week of Feb 4,7,31-40,3
U3093,31,Male,8351,752.8,1.69,7.0,Cardio,04/02/2024,21:00:00,29/01/2024,Sunday,Week of Feb 4,7,31-40,3
U3094,19,Female,3693,606.8,0.96,6.2,Strength,04/02/2024,22:00:00,29/01/2024,Sunday,Week of Feb 4,7,18-21,1
U3095,30,Male,13084,309.4,3.09,6.8,None,04/02/2024,23:00:00,29/01/2024,Sunday,Week of Feb 4,7,22-30,2
U3096,44,Female,14003,478.7,1.09,8.8,Cardio,05/02/2024,00:00:00,05/02/2024,Monday,Week of Feb 5,1,41-50,4
U3097,26,Female,14372,171.0,3.26,6.8,Cardio,05/02/2024,01:00:00,05/02/2024,Monday,Week of Feb 5,1,22-30,2
U3098,24,Female,2684,570.5,1.83,4.4,Strength,05/02/2024,02:00:00,05/02/2024,Monday,Week of Feb 5,1,22-30,2
U3099,27,Female,14532,510.3,2.73,9.4,Cardio,05/02/2024,03:00:00,05/02/2024,Monday,Week of Feb 5,1,22-30,2
U3100,26,Male,4919,583.4,2.14,7.3,Yoga,05/02/2024,04:00:00,05/02/2024,Monday,Week of Feb 5,1,22-30,2
U3101,39,Female,9166,754.6,1.27,9.5,Yoga,05/02/2024,05:00:00,05/02/2024,Monday,Week of Feb 5,1,31-40,3
U3102,40,Male,5756,596.7,2.51,7.4,Strength,05/02/2024,06:00:00,05/02/2024,Monday,Week of Feb 5,1,31-40,3
U3103,24,Female,7454,358.3,3.37,4.4,None,05/02/2024,07:00:00,05/02/2024,Monday,Week of Feb 5,1,22-30,2
U3104,26,Female,5283,279.2,2.81,7.3,Cardio,05/02/2024,08:00:00,05/02/2024,Monday,Week of Feb 5,1,22-30,2
U3105,44,Male,6691,705.5,2.31,7.5,Walking,05/02/2024,09:00:00,05/02/2024,Monday,Week of Feb 5,1,41-50,4
U3106,41,Female,8828,276.3,3.47,5.3,Strength,05/02/2024,10:00:00,05/02/2024,Monday,Week of Feb 5,1,41-50,4
U3107,46,Female,9350,255.0,1.30,6.8,Cardio,05/02/2024,11:00:00,05/02/2024,Monday,Week of Feb 5,1,41-50,4
U3108,34,Male,14218,284.3,0.69,6.8,Strength,05/02/2024,12:00:00,05/02/2024,Monday,Week of Feb 5,1,31-40,3
U3109,37,Female,3156,480.7,0.60,7.7,Strength,05/02/2024,13:00:00,05/02/2024,Monday,Week of Feb 5,1,31-40,3
U3110,24,Female,5061,230.7,2.63,5.6,None,05/02/2024,14:00:00,05/02/2024,Monday,Week of Feb 5,1,22-30,2
U3111,57,Female,9157,759.8,2.99,7.5,Walking,05/02/2024,15:00:00,05/02/2024,Monday,Week of Feb 5,1,51-60,5
U3112,24,Male,7919,778.1,2.41,5.4,Cardio,05/02/2024,16:00:00,05/02/2024,Monday,Week of Feb 5,1,22-30,2
U3113,45,Female,7893,783.0,3.22,6.7,Strength,05/02/2024,17:00:00,05/02/2024,Monday,Week of Feb 5,1,41-50,4
U3114,36,Male,6445,175.4,2.59,4.7,Strength,05/02/2024,18:00:00,05/02/2024,Monday,Week of Feb 5,1,31-40,3
U3115,37,Male,12521,765.0,1.61,4.2,Cardio,05/02/2024,19:00:00,05/02/2024,Monday,Week of Feb 5,1,31-40,3
U3116,56,Male,8436,798.3,1.04,5.9,Strength,05/02/2024,20:00:00,05/02/2024,Monday,Week of Feb 5,1,51-60,5
U3117,57,Female,3292,762.6,3.27,5.6,Strength,05/02/2024,21:00:00,05/02/2024,Monday,Week of Feb 5,1,51-60,5
U3118,24,Female,12076,586.1,0.81,6.4,Strength,05/02/2024,22:00:00,05/02/2024,Monday,Week of Feb 5,1,22-30,2
U3119,23,Female,11752,605.8,2.13,9.8,Yoga,05/02/2024,23:00:00,05/02/2024,Monday,Week of Feb 5,1,22-30,2
U3120,42,Female,11175,229.5,1.44,7.1,Yoga,06/02/2024,00:00:00,05/02/2024,Tuesday,Week of Feb 6,2,41-50,4
U3121,58,Male,9902,718.3,1.31,7.3,Walking,06/02/2024,01:00:00,05/02/2024,Tuesday,Week of Feb 6,2,51-60,5
U3122,30,Male,4067,188.8,2.44,9.6,None,06/02/2024,02:00:00,05/02/2024,Tuesday,Week of Feb 6,2,22-30,2
U3123,56,Female,12055,356.5,1.19,9.5,Cardio,06/02/2024,03:00:00,05/02/2024,Tuesday,Week of Feb 6,2,51-60,5
U3124,57,Female,3979,794.2,3.25,9.3,None,06/02/2024,04:00:00,05/02/2024,Tuesday,Week of Feb 6,2,51-60,5
U3125,39,Male,3736,424.5,1.72,4.6,None,06/02/2024,05:00:00,05/02/2024,Tuesday,Week of Feb 6,2,31-40,3
U3126,34,Female,12644,235.3,2.53,7.8,Yoga,06/02/2024,06:00:00,05/02/2024,Tuesday,Week of Feb 6,2,31-40,3
U3127,39,Female,3918,780.0,2.68,8.8,Walking,06/02/2024,07:00:00,05/02/2024,Tuesday,Week of Feb 6,2,31-40,3
U3128,51,Female,2700,789.7,2.55,9.0,None,06/02/2024,08:00:00,05/02/2024,Tuesday,Week of Feb 6,2,51-60,5
U3129,25,Female,6046,271.6,3.21,7.5,None,06/02/2024,09:00:00,05/02/2024,Tuesday,Week of Feb 6,2,22-30,2
U3130,35,Female,4073,712.1,1.19,4.1,Strength,06/02/2024,10:00:00,05/02/2024,Tuesday,Week of Feb 6,2,31-40,3
U3131,41,Female,6661,403.8,0.76,9.8,Cardio,06/02/2024,11:00:00,05/02/2024,Tuesday,Week of Feb 6,2,41-50,4
U3132,59,Male,13945,397.9,0.67,6.8,Walking,06/02/2024,12:00:00,05/02/2024,Tuesday,Week of Feb 6,2,51-60,5
U3133,19,Male,2394,320.8,3.13,6.4,Cardio,06/02/2024,13:00:00,05/02/2024,Tuesday,Week of Feb 6,2,18-21,1
U3134,19,Male,12148,179.1,3.42,6.4,Yoga,06/02/2024,14:00:00,05/02/2024,Tuesday,Week of Feb 6,2,18-21,1
U3135,44,Male,5048,324.2,1.41,6.5,None,06/02/2024,15:00:00,05/02/2024,Tuesday,Week of Feb 6,2,41-50,4
U3136,31,Female,5452,185.0,2.58,5.5,None,06/02/2024,16:00:00,05/02/2024,Tuesday,Week of Feb 6,2,31-40,3
U3137,56,Female,2522,750.8,0.53,6.0,Cardio,06/02/2024,17:00:00,05/02/2024,Tuesday,Week of Feb 6,2,51-60,5
U3138,29,Male,11754,580.1,1.07,9.9,Yoga,06/02/2024,18:00:00,05/02/2024,Tuesday,Week of Feb 6,2,22-30,2
U3139,49,Male,13101,726.3,2.57,6.2,Strength,06/02/2024,19:00:00,05/02/2024,Tuesday,Week of Feb 6,2,41-50,4
U3140,45,Male,13041,616.2,0.70,7.2,Strength,06/02/2024,20:00:00,05/02/2024,Tuesday,Week of Feb 6,2,41-50,4
U3141,45,Male,10741,235.3,1.91,9.1,None,06/02/2024,21:00:00,05/02/2024,Tuesday,Week of Feb 6,2,41-50,4
U3142,42,Male,3468,761.4,2.49,7.2,None,06/02/2024,22:00:00,05/02/2024,Tuesday,Week of Feb 6,2,41-50,4
U3143,21,Female,8230,734.9,2.80,5.9,Walking,06/02/2024,23:00:00,05/02/2024,Tuesday,Week of Feb 6,2,18-21,1
U3144,43,Female,10116,376.2,1.86,7.1,Cardio,07/02/2024,00:00:00,05/02/2024,Wednesday,Week of Feb 7,3,41-50,4
U3145,53,Male,11024,222.5,2.39,4.7,None,07/02/2024,01:00:00,05/02/2024,Wednesday,Week of Feb 7,3,51-60,5
U3146,20,Male,14674,607.7,2.12,4.8,Yoga,07/02/2024,02:00:00,05/02/2024,Wednesday,Week of Feb 7,3,18-21,1
U3147,18,Female,8811,623.4,0.66,8.2,Cardio,07/02/2024,03:00:00,05/02/2024,Wednesday,Week of Feb 7,3,18-21,1
U3148,34,Female,3421,732.9,2.73,9.5,Walking,07/02/2024,04:00:00,05/02/2024,Wednesday,Week of Feb 7,3,31-40,3
U3149,24,Female,9987,184.2,1.02,8.4,Strength,07/02/2024,05:00:00,05/02/2024,Wednesday,Week of Feb 7,3,22-30,2
U3150,22,Male,2285,242.1,0.60,4.4,Walking,07/02/2024,06:00:00,05/02/2024,Wednesday,Week of Feb 7,3,22-30,2
U3151,36,Female,4745,538.9,1.85,6.4,Cardio,07/02/2024,07:00:00,05/02/2024,Wednesday,Week of Feb 7,3,31-40,3
U3152,56,Male,13957,552.4,3.10,4.0,Strength,07/02/2024,08:00:00,05/02/2024,Wednesday,Week of Feb 7,3,51-60,5
U3153,51,Male,9108,171.8,0.95,7.1,Yoga,07/02/2024,09:00:00,05/02/2024,Wednesday,Week of Feb 7,3,51-60,5
U3154,52,Female,6464,408.0,0.54,5.2,Strength,07/02/2024,10:00:00,05/02/2024,Wednesday,Week of Feb 7,3,51-60,5
U3155,33,Female,3445,529.7,0.83,9.2,Strength,07/02/2024,11:00:00,05/02/2024,Wednesday,Week of Feb 7,3,31-40,3
U3156,57,Female,7837,629.6,1.59,4.6,Yoga,07/02/2024,12:00:00,05/02/2024,Wednesday,Week of Feb 7,3,51-60,5
U3157,56,Male,3466,355.5,2.24,4.0,None,07/02/2024,13:00:00,05/02/2024,Wednesday,Week of Feb 7,3,51-60,5
U3158,44,Female,11968,464.5,1.08,6.7,None,07/02/2024,14:00:00,05/02/2024,Wednesday,Week of Feb 7,3,41-50,4
U3159,58,Female,9167,679.1,2.91,4.9,Strength,07/02/2024,15:00:00,05/02/2024,Wednesday,Week of Feb 7,3,51-60,5
U3160,55,Male,13847,770.0,2.76,8.4,Strength,07/02/2024,16:00:00,05/02/2024,Wednesday,Week of Feb 7,3,51-60,5
U3161,42,Female,11106,299.7,2.59,9.5,Walking,07/02/2024,17:00:00,05/02/2024,Wednesday,Week of Feb 7,3,41-50,4
U3162,43,Female,10479,314.5,1.96,4.3,None,07/02/2024,18:00:00,05/02/2024,Wednesday,Week of Feb 7,3,41-50,4
U3163,31,Male,14382,760.9,1.60,6.4,Yoga,07/02/2024,19:00:00,05/02/2024,Wednesday,Week of Feb 7,3,31-40,3
U3164,31,Male,12280,407.3,1.63,10.0,Strength,07/02/2024,20:00:00,05/02/2024,Wednesday,Week of Feb 7,3,31-40,3
U3165,31,Male,6426,616.9,2.01,8.4,Strength,07/02/2024,21:00:00,05/02/2024,Wednesday,Week of Feb 7,3,31-40,3
U3166,42,Male,7932,548.0,0.73,9.7,Walking,07/02/2024,22:00:00,05/02/2024,Wednesday,Week of Feb 7,3,41-50,4
U3167,53,Male,11996,335.6,2.55,5.0,Walking,07/02/2024,23:00:00,05/02/2024,Wednesday,Week of Feb 7,3,51-60,5
U3168,21,Female,3178,574.8,1.55,5.3,Walking,08/02/2024,00:00:00,05/02/2024,Thursday,Week of Feb 8,4,18-21,1
U3169,32,Female,4551,576.1,1.17,4.9,Cardio,08/02/2024,01:00:00,05/02/2024,Thursday,Week of Feb 8,4,31-40,3
U3170,49,Male,6370,535.1,1.33,5.8,Yoga,08/02/2024,02:00:00,05/02/2024,Thursday,Week of Feb 8,4,41-50,4
U3171,35,Female,11780,214.8,1.04,8.3,Cardio,08/02/2024,03:00:00,05/02/2024,Thursday,Week of Feb 8,4,31-40,3
U3172,31,Female,8322,796.9,3.20,5.0,Strength,08/02/2024,04:00:00,05/02/2024,Thursday,Week of Feb 8,4,31-40,3
U3173,18,Male,12148,410.3,1.01,7.1,Walking,08/02/2024,05:00:00,05/02/2024,Thursday,Week of Feb 8,4,18-21,1
U3174,59,Male,11967,564.9,3.15,5.6,Walking,08/02/2024,06:00:00,05/02/2024,Thursday,Week of Feb 8,4,51-60,5
U3175,37,Male,6862,725.7,2.22,9.0,Walking,08/02/2024,07:00:00,05/02/2024,Thursday,Week of Feb 8,4,31-40,3
U3176,27,Female,11179,425.1,3.10,4.0,None,08/02/2024,08:00:00,05/02/2024,Thursday,Week of Feb 8,4,22-30,2
U3177,27,Male,7855,653.1,1.92,5.3,Yoga,08/02/2024,09:00:00,05/02/2024,Thursday,Week of Feb 8,4,22-30,2
U3178,41,Female,3203,781.7,3.28,7.6,Cardio,08/02/2024,10:00:00,05/02/2024,Thursday,Week of Feb 8,4,41-50,4
U3179,51,Female,9349,383.3,1.13,4.6,Yoga,08/02/2024,11:00:00,05/02/2024,Thursday,Week of Feb 8,4,51-60,5
U3180,45,Female,13522,413.4,2.16,6.8,Walking,08/02/2024,12:00:00,05/02/2024,Thursday,Week of Feb 8,4,41-50,4
U3181,44,Female,8386,738.6,0.88,6.6,Strength,08/02/2024,13:00:00,05/02/2024,Thursday,Week of Feb 8,4,41-50,4
U3182,57,Male,3119,253.8,1.84,9.1,None,08/02/2024,14:00:00,05/02/2024,Thursday,Week of Feb 8,4,51-60,5
U3183,18,Female,10388,168.6,2.21,7.8,Yoga,08/02/2024,15:00:00,05/02/2024,Thursday,Week of Feb 8,4,18-21,1
U3184,50,Male,5975,740.8,2.32,7.8,Strength,08/02/2024,16:00:00,05/02/2024,Thursday,Week of Feb 8,4,41-50,4
U3185,21,Female,10717,684.0,1.60,9.7,Walking,08/02/2024,17:00:00,05/02/2024,Thursday,Week of Feb 8,4,18-21,1
U3186,24,Male,14919,782.2,0.73,9.9,Walking,08/02/2024,18:00:00,05/02/2024,Thursday,Week of Feb 8,4,22-30,2
U3187,26,Male,11602,187.9,2.47,7.9,Walking,08/02/2024,19:00:00,05/02/2024,Thursday,Week of Feb 8,4,22-30,2
U3188,33,Male,14695,251.5,1.97,7.1,Walking,08/02/2024,20:00:00,05/02/2024,Thursday,Week of Feb 8,4,31-40,3
U3189,22,Female,3292,218.5,0.91,7.6,None,08/02/2024,21:00:00,05/02/2024,Thursday,Week of Feb 8,4,22-30,2
U3190,51,Female,11386,594.2,3.31,6.3,None,08/02/2024,22:00:00,05/02/2024,Thursday,Week of Feb 8,4,51-60,5
U3191,40,Female,12140,543.9,3.37,9.9,Yoga,08/02/2024,23:00:00,05/02/2024,Thursday,Week of Feb 8,4,31-40,3
U3192,42,Male,5655,383.6,3.07,8.2,Walking,09/02/2024,00:00:00,05/02/2024,Friday,Week of Feb 9,5,41-50,4
U3193,30,Female,6786,187.3,3.03,5.7,None,09/02/2024,01:00:00,05/02/2024,Friday,Week of Feb 9,5,22-30,2
U3194,41,Female,4217,565.8,0.80,4.3,Strength,09/02/2024,02:00:00,05/02/2024,Friday,Week of Feb 9,5,41-50,4
U3195,28,Female,14446,520.6,3.48,4.3,None,09/02/2024,03:00:00,05/02/2024,Friday,Week of Feb 9,5,22-30,2
U3196,34,Male,13772,223.4,1.70,5.2,None,09/02/2024,04:00:00,05/02/2024,Friday,Week of Feb 9,5,31-40,3
